,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,50.35,46.59,6.18,6.40,13.23,19.38,6.96,31890000000.0,16.92,31890000000.0,32850000000.0,28.74,2.79,6.29,27.89,6.29,2810000000.0,31890000000.0,N/A,2.21,4.20,1.00,1360000000.0,4.41,2510000000.0,2.47,16.14,755500000.0,31890000000.0,0.37,89.39,N/A,2.81,1.27,4120000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,36.61,69.93,0.29,0.74,6.72,4.00,1.66,2730000000.0,51.38,2730000000.0,3560000000.0,69.93,0.29,0.37,6.22,0.37,1920000000.0,2730000000.0,N/A,3.46,5.19,20.80,5.19,5.19,1950000000.0,1.42,19.93,975250000.0,2730000000.0,0.38,77.21,N/A,2.22,9.39,14790000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,169.04,37.91,8.10,29.58,21.33,24.52,13.12,995150000000.0,15.58,995150000000.0,943180000000.0,31.85,2.54,7.88,26.03,7.88,98390000000.0,995150000000.0,N/A,3.30,12.00,10.90,93030000000.0,5.44,122190000000.0,1.47,4.22,80010000000.0,995150000000.0,0.07,62.12,N/A,0.57,0.55,140940000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,593.80,20.63,3.97,11.32,19.20,37.55,8.23,166420000000.0,23.79,166420000000.0,165750000000.0,9.06,1.28,4.58,12.91,4.58,25830000000.0,166420000000.0,N/A,4.52,6050000000.0,26.30,6050000000.0,3.43,87480000000.0,0.86,8.34,14730000000.0,166420000000.0,0.11,76.76,N/A,1.9,0.70,13680000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,117.49,12.96,0.11,5.19,0.84,0.99,2.90,20030000000.0,900.74,20030000000.0,20750000000.0,11.82,3.25,0.11,13.08,0.11,4990000000.0,20030000000.0,N/A,7.53,4.10,0.30,3420000000.0,16.75,4660000000.0,0.98,18.91,1580000000.0,20030000000.0,27.78,67.90,N/A,4.18,2.56,3590000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,63.90,63.65,6.21,6.34,9.89,14.00,4.01,193820000000.0,17.76,193820000000.0,208460000000.0,33.56,4.86,6.63,28.68,6.63,18710000000.0,193820000000.0,N/A,1.73,46.60,8.20,5040000000.0,2.85,19680000000.0,1.57,17.27,6400000000.0,193820000000.0,0.73,77.18,N/A,2.28,0.58,10170000.0,N/A
6,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,527.84,6.71,0.10,5.61,1.51,2.64,4.30,6710000000.0,115.29,6710000000.0,19350000000.0,7.56,0.95,0.29,4.63,0.29,17590000000.0,6710000000.0,N/A,096.30,096.30,21.40,2040000000.0,4.25,14750000000.0,1.06,3190000000.0,3190000000.0,6710000000.0,14.94,73.63,N/A,2.61,4.36,6490000.0,N/A
7,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,21.31,30.97,3.45,9.41,11.11,14.68,12.93,150740000000.0,69.98,150740000000.0,147810000000.0,29.33,3.44,3.32,18.24,3.32,13310000000.0,150740000000.0,N/A,7.64,1.70,1.00,6450000000.0,10.13,3510000000.0,1.37,25.18,7180000000.0,150740000000.0,0.19,74.68,N/A,3.48,0.83,6450000.0,N/A
8,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,43.17,67.32,20.68,22.50,30.71,31.36,11.44,244780000000.0,24.92,244780000000.0,245130000000.0,45.87,2.39,20.35,53.43,20.35,9500000000.0,244780000000.0,N/A,7.58,73.80,14.00,4350000000.0,9.07,4700000000.0,1.29,22.67,4810000000.0,244780000000.0,0.29,89.10,N/A,1.65,0.78,4810000.0,N/A
9,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,52.39,40.75,8.21,3.82,20.14,26.89,4.30,44980000000.0,14.98,44980000000.0,49480000000.0,21.55,2.39,8.96,22.58,8.96,4010000000.0,44980000000.0,N/A,2.99,0.10,1.60,1090000000.0,2.95,6170000000.0,1.47,31.90,1990000000.0,44980000000.0,0.33,91.45,N/A,3.69,3.63,7130000.0,N/A
10,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,53.12,14.24,0.39,1.29,2.75,2.65,2.45,24850000000.0,114.53,24850000000.0,33060000000.000004,15.34,2.14,0.51,10.09,0.51,4150000000.0000005,24850000000.0,N/A,3.14,99.60,0.10,1210000000.0,2.18,10300000000.0,1.72,34.70,3180000000.0,24850000000.0,0.44,80.70,N/A,3.6,1.47,8490000.0,N/A
11,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,42.73,24.74,4.18,10.54,16.91,22.54,5.07,60630000000.0,33.87,60630000000.0,61070000000.0,27.62,3.20,4.19,16.20,4.19,6510000000.0,60630000000.0,N/A,5.70,13.40,2.90,1910000000.0,4.44,2460000000.0,1.05,13.38,3030000000.0,60630000000.0,0.14,82.28,N/A,1.73,0.97,3810000.0,N/A
12,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,095.39,150.74,15.43,800.25,10.26,15.23,6.35,53860000000.0,16.13,53860000000.0,54420000000.0,67.11,2.04,15.37,84.44,15.37,2980000000.0,53860000000.0,N/A,1.63,144.30,14.60,1520000000.0,6.93,2080000000.0,0.84,0.31,1390000000.0,53860000000.0,0.15,97.69,N/A,3.12,1.46,2940000.0,N/A
13,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,365.43,17.76,1.54,2.99,12.47,4.07,0.82,8369999999.999999,7.06,8369999999.999999,18070000000.0,17.76,1.54,3.41,9.72,3.41,3740000000.0,8369999999.999999,N/A,0.88,45470000.0,3.70,45470000.0,0.06,10210000000.0,0.53,3.63,1520000000.0,8369999999.999999,1.84,95.27,N/A,1.72,17.93,18130000.0,N/A
14,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,127.23,23.46,3.42,2.41,15.25,25.08,3.00,19820000000.0,22.55,19820000000.0,30460000000.0,21.32,2.84,5.24,11.90,5.24,2740000000.0,19820000000.0,N/A,3.42,35.80,1.50,0.03,0.03,10650000000.0,0.81,33.29,1980000000.0,19820000000.0,0.43,77.00,N/A,9.52,5.96,13380000.0,N/A
